Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3396-5271-6788-77617,2021-11-01,1635725711,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.28,1.21,6.49,,,,PT,,
GPA.3341-1142-4950-52521,2021-11-01,1635726559,Charged,c2q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.00,5.99,UNINCORPORATED,CA,95691,US,,
GPA.3352-5899-8786-41332,2021-11-01,1635729824,Charged,q2q,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,USD,5.49,0.42,5.91,Cibolo,TX,78108,US,,
GPA.3325-8468-8176-70189,2021-11-01,1635729965,Charged,a30,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,AUD,8.63,0.86,9.49,,,2480,AU,,
GPA.3378-6033-3999-57580,2021-11-01,1635735019,Charged,a71xq,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,0.21,3.20,Ingleside,IL,60041,US,,
GPA.3387-4226-8952-04864,2021-11-01,1635746684,Charged,X606F,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.32,1.17,6.49,,,,IT,,
GPA.3300-1773-9840-50228,2021-11-01,1635747041,Charged,gts7xllite,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.61,0.88,5.49,,,,DE,,
GPA.3348-8488-1999-32088,2021-11-01,1635747674,Charged,a41,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.91,1.08,5.99,,,,SI,,
GPA.3352-4215-1955-76871,2021-11-01,1635747827,Charged,OnePlus6T,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,KES,689.66,110.34,800.00,,,,KE,,
GPA.3319-7831-8431-89274,2021-11-01,1635749568,Charged,gta3xl,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.55,0.00,6.55,Abidjan 25,,,CI,,
GPA.3380-0341-0475-25065,2021-11-01,1635750983,Charged,TECNO-LE7,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,6.29,1.21,7.50,Yaoundé,,,CM,,
GPA.3362-2289-6951-96801,2021-11-01,1635751208,Charged,TECNO-CE8,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,NGN,"2,560.00",0.00,"2,560.00","Lagos, Nigeria",,102022,NG,,
GPA.3320-8261-8917-72547,2021-11-01,1635751755,Charged,beyond2,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KES,689.66,110.34,800.00,,,30300,KE,,
GPA.3312-8567-6981-19731,2021-11-01,1635751785,Charged,r7,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,GBP,4.07,0.82,4.89,,,,GB,,
GPA.3343-4604-1138-55420,2021-11-01,1635753801,Refund,j6lte,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,CZK,66.11,-13.88,-79.99,,,,CZ,,
GPA.3377-1679-5799-06430,2021-11-01,1635757370,Charged,a30s,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,RUB,415.83,83.17,499.00,Белгород,Белгородская область,309300,RU,,
GPA.3378-6049-3661-25188,2021-11-01,1635757666,Charged,davinci,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.45,0.54,2.99,,,,IT,,
GPA.3399-3204-5953-60296,2021-11-01,1635761006,Charged,a40,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.41,1.08,6.49,,,,FR,,
GPA.3303-6094-9278-86396,2021-11-01,1635762578,Charged,z3s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.03,0.96,5.99,,,,DE,,
GPA.3328-0349-6451-80436,2021-11-01,1635763592,Charged,beyond2,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Adamantina,SP,03524020,BR,,
GPA.3337-2249-4694-57410,2021-11-01,1635765382,Refund,starlte,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.41,-1.08,-6.49,,,,FR,,
GPA.3359-1399-0347-39999,2021-11-01,1635766202,Charged,crownlte,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.03,0.96,5.99,,,,DE,,
GPA.3335-1495-8510-15461,2021-11-01,1635766402,Charged,OP515BL1,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Mumbai,Maharashtra,400063,IN,,
GPA.3328-7715-3070-72668,2021-11-01,1635768997,Charged,gta4lwifi,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.61,0.88,5.49,,,,DE,,
GPA.3302-5226-3944-89503,2021-11-01,1635770491,Charged,j5xnlte,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.49,0.50,2.99,,,,FR,,
GPA.3385-4103-9717-93172,2021-11-01,1635771198,Charged,SH-04L,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,VND,"129,000.00",0.00,"129,000.00",,,71420,VN,,
GPA.3344-8866-0426-33714,2021-11-01,1635773591,Refund,dreamlte,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,24.34,-3.65,-27.99,Dammam,,31932,SA,,
