Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3309-2920-3734-12513,2021-02-01,1612196607,Charged,walleye,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3337-1448-8535-99473,2021-02-03,1612381913,Charged,p3q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.21,2.70,SAN ANTONIO,TX,78264,US
GPA.3375-0974-7170-17959,2021-02-03,1612382685,Charged,Infinix-X650B,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,2.99,0.00,2.99,Ouagadougou,,,BF
GPA.3301-2081-9891-29987,2021-02-04,1612410281,Charged,d1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,RON,11.76,2.23,13.99,,,,RO
GPA.3375-0974-7170-17959,2021-02-04,1612424104,Refund,Infinix-X650B,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,2.99,0.00,-2.99,Ouagadougou,,,BF
GPA.3315-9883-5728-43530,2021-02-04,1612455523,Charged,HWSTK-HF,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,9.56,1.43,10.99,الرياض,,28258,SA
GPA.3399-2773-8418-50697,2021-02-05,1612483361,Charged,a02q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,9.56,1.43,10.99,,,,SA
GPA.3319-3718-4648-07697,2021-02-05,1612494866,Charged,duo,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.17,2.66,Browns Summit,NC,27214,US
GPA.3320-5963-5917-26014,2021-02-05,1612503196,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,VND,"59,000.00",0.00,"59,000.00",Hà Nội,HÀ NỘI,154700,VN
GPA.3360-2753-2226-59107,2021-02-05,1612536442,Charged,apollo,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,Meang,เพชรบุรี,76000,TH
GPA.3358-2205-0916-18133,2021-02-05,1612542099,Charged,j5y17lte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,0.06,0.43,0.49,,,,ES
GPA.3336-7439-9094-59648,2021-02-07,1612674464,Charged,CPH1715,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,สุไหงโกลก,นราธิวาส,96120,TH
GPA.3363-8176-2812-66849,2021-02-07,1612707320,Charged,a3xelte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE
GPA.3368-0477-9736-35342,2021-02-08,1612776503,Charged,beyond1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,LKR,575.00,0.00,575.00,Thalawathugoda,,10116,LK
GPA.3348-7161-4462-53470,2021-02-09,1612870324,Charged,kane_sprout,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,BRL,16.99,0.00,16.99,Belo Horizonte,MG,30535-490,BR
GPA.3328-6337-5275-97157,2021-02-09,1612884231,Charged,Gigaset_GS4,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.43,0.46,2.89,,,,DE
GPA.3348-8915-5266-77301,2021-02-09,1612910100,Charged,HWMAR,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,,,97000,MX
GPA.3331-5675-1889-81173,2021-02-10,1612973394,Charged,a20p,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,,,21290,MX
GPA.3363-5569-9387-51735,2021-02-11,1613054136,Charged,OP4B65L1,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.07,0.42,2.49,,,,FR
GPA.3318-5667-1749-18442,2021-02-12,1613126292,Charged,odessa,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,Acatlan,PUE.,74949,MX
GPA.3338-9363-9694-91301,2021-02-12,1613155216,Charged,grandpplte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,,,10170,TH
GPA.3331-3852-5880-21532,2021-02-13,1613189166,Charged,herolte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.49,0.50,2.99,,,,FR
GPA.3338-7751-3768-35602,2021-02-13,1613208336,Charged,c2s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,BE
GPA.3334-0517-6568-30718,2021-02-14,1613335210,Charged,j7e3g,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,3.01,0.00,3.01,Ouagadougou,,,BF
GPA.3315-9451-1708-43734,2021-02-15,1613367523,Charged,XQ-AU52,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,HKD,19.90,0.00,19.90,九龍城,九龍,,HK
GPA.3368-3947-9059-96962,2021-02-16,1613456990,Charged,HWSTK-HF,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,9.56,1.43,10.99,,,,SA
GPA.3320-2891-7256-29432,2021-02-19,1613706486,Charged,1904,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,MYR,12.25,0.74,12.99,Skudai,JOHOR,81300,MY
GPA.3375-0487-9775-10268,2021-02-19,1613748887,Charged,crownlte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,RON,11.76,2.23,13.99,,,,RO
GPA.3370-1890-2038-29273,2021-02-20,1613790673,Charged,a20p,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,2.99,0.20,3.19,DAYTON,TX,77535,US
GPA.3343-9388-1109-86789,2021-02-20,1613811994,Charged,gts3llte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3346-0306-7794-14704,2021-02-20,1613817961,Charged,galahad,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3340-0647-8559-28578,2021-02-21,1613875423,Charged,starqlteue,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,0.22,3.21,ANDREW,IL,62707,US
GPA.3307-8770-2017-48493,2021-02-21,1613877032,Charged,a71x,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,TWD,84.00,4.00,88.00,,,600,TW
GPA.3312-5366-0916-41709,2021-02-21,1613933133,Charged,grus,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3305-5096-0296-97193,2021-02-22,1613977224,Charged,a5y17lte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
