Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3371-4819-1427-55191,2023-01-01,1672536204,Charged,HWVOG,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE,,,4992313473829035528,Yes,,,
GPA.3329-3191-3030-52068,2023-01-01,1672541363,Charged,OP4BAFL1,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,JPY,310.00,0.00,310.00,,,4820036,JP,,,4992313473829035528,Yes,,,
GPA.3342-6861-3093-32525,2023-01-01,1672545549,Charged,HWLYA,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,THB,210.28,14.72,225.00,พระประแดง,สมุทรปราการ,10130,TH,p1y,,4992313473829035528,Yes,,,
GPA.3359-5382-5099-74654..0,2023-01-01,1672547699,Charged,,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,THB,163.55,11.45,175.00,,,,TH,,,4992313473829035528,Yes,,,
GPA.3341-8867-3304-68597,2023-01-01,1672552047,Refund,OP48A1,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,AUD,5.90,-0.59,-6.49,,,4022,AU,p1m,,4992313473829035528,Yes,,,
GPA.3389-0487-7859-98843,2023-01-01,1672552631,Charged,p3s,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,EUR,2.72,0.57,3.29,,,,NL,,,4992313473829035528,Yes,,,
GPA.3378-2049-4245-30939,2023-01-01,1672554370,Charged,y2s,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,NZD,4.17,0.62,4.79,,,4122,NZ,,,4992313473829035528,Yes,,,
GPA.3321-3939-1946-68846,2023-01-01,1672554707,Charged,beyond2,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE,,,4992313473829035528,Yes,,,
GPA.3346-2859-9614-15435..2,2023-01-01,1672558923,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,CAD,5.49,0.71,6.20,Las Vegas,ON,M5A 1Z4,CA,p1m,,4992313473829035528,Yes,,,
GPA.3378-6538-3273-00148,2023-01-01,1672568009,Charged,capri,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE,,,4992313473829035528,Yes,,,
GPA.3387-4846-6891-41021,2023-01-01,1672571029,Charged,q2q,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,KRW,"3,273.00",327.00,"3,600.00",,,49490,KR,,,4992313473829035528,Yes,,,
GPA.3310-7701-9613-27475,2023-01-01,1672571981,Charged,r0q,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,KRW,"7,727.00",773.00,"8,500.00",천안시,충청남도,331-779,KR,p1y,,4992313473829035528,Yes,,,
GPA.3385-3445-3322-51601,2023-01-01,1672573223,Charged,b0q,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,SGD,12.94,1.04,13.98,,,348615,SG,,,4992313473829035528,Yes,,,
GPA.3307-9384-9453-34381,2023-01-01,1672575774,Charged,hiphi,Remove all Ads forever (Currency & Crypto Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.45,0.54,2.99,,,,IT,,,4992313473829035528,Yes,,,
GPA.3379-4154-9696-84413,2023-01-01,1672584794,Charged,p3s, PDF Reader - Permanent Premium (PDF Tools: PDF Reader - Editor),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,,4992313473829035528,Yes,,,
GPA.3358-3623-1610-03324,2023-01-01,1672602071,Charged,c2q,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,USD,5.99,0.36,6.35,WASHINGTON,DC,20008,US,p1y,,4992313473829035528,Yes,,,
GPA.3322-2044-4337-50909,2023-01-01,1672603742,Charged,a12s,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,CZK,66.11,13.88,79.99,,,,CZ,,,4992313473829035528,Yes,,,
GPA.3313-7014-0660-22442,2023-01-01,1672603927,Charged,viva,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.60,0.39,5.99,,,,ES,,,4992313473829035528,Yes,,,
GPA.3380-0164-7771-73347,2023-01-01,1672607946,Charged,maltalsc,iapforever (Time Warp Scan - Face Warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,USD,3.77,0.00,3.77,Buenos Aires,Buenos Aires,1878,AR,,,4992313473829035528,Yes,,,
GPA.3318-8166-7552-35131,2023-01-01,1672608761,Charged,q2q,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,CHF,4.00,0.00,4.00,Villeret,,2613,CH,p1m,,4992313473829035528,Yes,,,
GPA.3304-2312-9182-71979,2023-01-01,1672610834,Charged,starlte,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,NZD,4.34,0.65,4.99,Timaru,,7920,NZ,,,4992313473829035528,Yes,,,
GPA.3342-0906-3130-17820,2023-01-01,1672612919,Charged,b0q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,USD,2.99,0.20,3.19,EAST WINDSOR,NJ,08520,US,,,4992313473829035528,Yes,,,
GPA.3302-6589-3043-39484,2023-01-01,1672613215,Charged,y2s,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,GBP,4.99,1.00,5.99,,,,GB,p1y,,4992313473829035528,Yes,,,
