Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3352-7681-7486-33758,2022-09-01,1661996593,Charged,j6primelte,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,COP,"22,500.00",0.00,"22,500.00",,,,CO,,,4992313473829035528,Yes,,,
GPA.3315-7511-3363-24047,2022-09-01,1661998149,Charged,gta3xlwifi,Premium version - Permanently (Crown Heart Photo Editor),com.volio.stickers.heart.crown.camera.photoeditor,inapp,premiumforever,COP,"34,500.00",0.00,"34,500.00",,,,CO,,,4992313473829035528,Yes,,,
GPA.3346-7174-0111-35220,2022-09-01,1662000178,Charged,Doha_TMO,iapforever (Time Warp Scan - Face warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,USD,3.99,0.00,3.99,SANTA ROSA,CA,95404,US,,,4992313473829035528,Yes,,,
GPA.3321-7687-7013-45377..9,2022-09-01,1662002067,Charged,,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,USD,3.49,0.21,3.70,Coatesville,PA,19320,US,,,4992313473829035528,Yes,,,
GPA.3305-3202-0090-95954,2022-09-01,1662003402,Charged,octopus_cheets,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.69,8.18,CHATTANOOGA,TN,37412,US,,,4992313473829035528,Yes,,,
GPA.3344-7644-1619-00666..0,2022-09-01,1662025418,Charged,,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,EUR,4.95,1.04,5.99,,,,NL,,,4992313473829035528,Yes,,,
GPA.3395-0957-3149-20758,2022-09-01,1662032473,Charged,haydn,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,EUR,2.65,0.64,3.29,,,,FI,,,4992313473829035528,Yes,,,
GPA.3333-3600-4957-74193,2022-09-01,1662035514,Charged,gauguin,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,EUR,2.66,0.53,3.19,,,,FR,,,4992313473829035528,Yes,,,
GPA.3335-4791-2130-15556,2022-09-01,1662036103,Charged,SC51Aa,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,JPY,"1,250.00",0.00,"1,250.00",宮古市築地,岩手県,0270091,JP,,,4992313473829035528,Yes,,,
GPA.3365-6137-2277-01346,2022-09-01,1662037376,Charged,xcover5,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,EUR,2.72,0.57,3.29,,,,NL,,,4992313473829035528,Yes,,,
GPA.3319-3839-6339-58786,2022-09-01,1662037841,Charged,U319AA,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,USD,4.49,0.31,4.80,PANAMA CITY,FL,32405,US,p1m,,4992313473829035528,Yes,,,
GPA.3384-8031-9059-11236,2022-09-01,1662039288,Charged,a51, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.35,0.00,6.35,Buenos Aires,Buenos Aires,1425,AR,,,4992313473829035528,Yes,,,
GPA.3371-2409-9026-92566,2022-09-01,1662042776,Charged,a22x,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,KRW,"11,818.00","1,182.00","13,000.00",,,47346,KR,,,4992313473829035528,Yes,,,
GPA.3381-1158-9477-75957,2022-09-01,1662043406,Charged,a72q,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,TZS,"14,000.00",0.00,"14,000.00",dar es salaam,,,TZ,,,4992313473829035528,Yes,,,
GPA.3308-4170-0744-31293..0,2022-09-01,1662044030,Charged,,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,EUR,4.99,1.00,5.99,,,,FR,,,4992313473829035528,Yes,,,
GPA.3343-0003-3958-19919,2022-09-01,1662044550,Charged,t2s,Remove all ads (PDF Converter: Photo To PDF),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.45,0.54,2.99,,,,IT,,,4992313473829035528,Yes,,,
GPA.3344-0812-3710-99450,2022-09-01,1662045704,Charged,a72q, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.45,1.04,6.49,,,,DE,,,4992313473829035528,Yes,,,
GPA.3309-8457-5788-41286,2022-09-01,1662046397,Charged,angelica,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Conceição do Araguaia,PA,68540000,BR,,,4992313473829035528,Yes,,,
GPA.3355-7303-7555-49709,2022-09-01,1662047127,Charged,C23_Pro,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,SEK,27.20,6.80,34.00,,,,SE,,,4992313473829035528,Yes,,,
GPA.3310-2801-4542-60435,2022-09-01,1662048948,Charged,Seoul,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,CAD,3.79,0.42,4.21,ROCKGLEN,SK,S0H3R0,CA,,,4992313473829035528,Yes,,,
GPA.3349-2324-6469-01613,2022-09-01,1662053287,Refund,hiphi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,-0.54,-8.03,Ogden,UT,84414,US,,,4992313473829035528,Yes,,,
GPA.3309-5962-8973-52994,2022-09-01,1662057646,Charged,octopus_cheets,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,AUD,9.99,1.00,10.99,,,2171,AU,,,4992313473829035528,Yes,,,
GPA.3307-7898-9847-56351,2022-09-01,1662060520,Charged,OP4F4DL1,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,EUR,9.01,1.98,10.99,,,,IT,,,4992313473829035528,Yes,,,
