Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3372-6577-0123-96903,2021-09-01,1630470831,Charged,HWELE,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,CHF,5.20,0.00,5.20,Meyrin,,1217,CH,,
GPA.3346-8924-3959-10539,2021-09-01,1630474688,Charged,KYV47,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,8611306,JP,,
GPA.3322-8421-6608-34837,2021-09-01,1630479972,Charged,r8s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,NOK,55.20,13.80,69.00,,,,NO,,
GPA.3340-5372-2581-72087,2021-09-01,1630481699,Charged,pokerp,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GBP,4.57,0.92,5.49,,,,GB,,
GPA.3388-9158-9396-21919,2021-09-01,1630485906,Charged,a42xq,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,
GPA.3323-3170-4079-07406,2021-09-01,1630489775,Charged,greatlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,
GPA.3334-3921-2416-19693,2021-09-01,1630493933,Refund,OnePlusNordCE,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,-83.90,-550.00,New Delhi,Delhi,110017,IN,,
GPA.3366-5264-6211-19156,2021-09-01,1630494104,Charged,cannong,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,
GPA.3366-9269-7229-65577,2021-09-01,1630494422,Charged,OP4C72L1,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,3.99,1.00,4.99,,,,FR,,
GPA.3345-0498-5516-98159,2021-09-01,1630494545,Charged,m21,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,PLN,21.94,5.05,26.99,,,,PL,,
GPA.3323-2333-6919-30922,2021-09-01,1630495037,Charged,r8q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,PLN,25.20,5.79,30.99,,,,PL,,
GPA.3381-1130-1571-69746,2021-09-01,1630495949,Charged,ASUS_X018_1,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,TWD,152.00,8.00,160.00,,,600,TW,,
GPA.3373-2638-5618-12288,2021-09-01,1630498760,Charged,toco,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.91,1.08,5.99,,,,SI,,
GPA.3392-3011-6470-75652,2021-09-01,1630505571,Charged,RMX3081L1,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,PLN,22.76,5.23,27.99,,,,PL,,
GPA.3341-6336-9894-45120,2021-09-01,1630508604,Charged,a41,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.32,1.17,6.49,,,,IT,,
GPA.3365-0939-3069-76734,2021-09-01,1630508851,Charged,mdh40lm,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Santos,SP,11030381,BR,,
GPA.3397-1754-2916-98547,2021-09-01,1630509863,Charged,apollo,"All Document - No ads forever (Documents To Go: Word Document Reader, PDF Expert)",com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,MYR,23.58,1.41,24.99,BANDAR PUTRA PERMAI,SELANGOR,43300,MY,,
GPA.3367-8558-2360-64994,2021-09-01,1630512793,Charged,M40_EEA,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,THB,186.92,13.08,200.00,พระประแดง,สมุทรปราการ,10130,TH,,
GPA.3301-0620-8369-32712,2021-09-01,1630517491,Charged,J606F,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.99,1.00,5.99,,,,FR,,
GPA.3301-6975-4796-43557,2021-09-01,1630517726,Charged,x1s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.28,1.21,6.49,,,,IE,,
GPA.3392-3351-2870-96465,2021-09-01,1630518650,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,24.34,3.65,27.99,,,29221,SA,,
GPA.3391-0324-3075-27426,2021-09-01,1630519016,Charged,caprip,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,COP,"22,500.00",0.00,"22,500.00",,,,CO,,
GPA.3379-1825-0951-00874,2021-09-01,1630519405,Charged,a71,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.61,0.88,5.49,,,,DE,,
GPA.3389-5100-7777-70642,2021-09-01,1630519711,Charged,caprip,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"5,042.00",958.00,"6,000.00",,,5090000,CL,,
