Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3333-8927-8689-95071,2021-07-28,1627495646,Charged,E6653,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,SEK,25.60,6.40,32.00,,,,SE
GPA.3320-8221-8973-82343,2021-07-28,1627502211,Charged,a02,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,COP,"21,000.00",0.00,"21,000.00",,,,CO
GPA.3310-4032-6845-32757,2021-07-28,1627508412,Refund,HWMAR,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,-0.36,-6.35,Elkridge,MD,21075,US
GPA.3332-6631-8929-21417,2021-07-29,1627529169,Charged,a6lte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.03,0.96,5.99,,,,DE
GPA.3359-4254-7805-65931,2021-07-29,1627543800,Charged,j4primelte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.49,0.50,2.99,,,,FR
GPA.3375-4419-9151-80159,2021-07-29,1627545645,Charged,d2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Chennai,Tamil Nadu,600040,IN
GPA.3351-0267-4211-55106,2021-07-29,1627549590,Charged,gta3xlwifi,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,4.99,1.00,5.99,,,,FR
GPA.3307-8394-4861-39226,2021-07-29,1627554762,Charged,m51,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Ernakulam,Kerala,682025,IN
GPA.3355-9518-6155-57952,2021-07-29,1627557317,Charged,r3q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KRW,"6,364.00",636.00,"7,000.00",성북구,서울특별시,136-110,KR
GPA.3351-8484-7215-60558,2021-07-29,1627564222,Charged,platina,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Adamantina,SP,11680000,BR
