Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3371-1892-2573-91295,2021-08-01,1627777289,Charged,grandprimeve3g,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,116.38,18.62,135.00,,,64360,MX
GPA.3326-8339-9178-64008,2021-08-01,1627788079,Charged,bloomq,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,5.99,0.27,6.26,METAIRIE,LA,70015,US
GPA.3319-0549-6135-41730,2021-08-01,1627790384,Charged,blackjack,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,PLN,21.94,5.05,26.99,,,,PL
GPA.3361-1690-9749-85394,2021-08-01,1627802556,Charged,j4primeltekx,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,KRW,"3,364.00",336.00,"3,700.00",,,04501,KR
GPA.3331-7166-7047-05478,2021-08-01,1627809554,Charged,a40,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.43,0.56,2.99,,,,IE
GPA.3300-8749-3041-56678,2021-08-01,1627809874,Charged,guam,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
GPA.3323-8577-2011-98028,2021-08-01,1627812872,Charged,HWPOT-H,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.47,0.52,2.99,,,,BE
GPA.3339-6217-7892-22415,2021-08-01,1627812987,Charged,crownlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CHF,5.30,0.00,5.30,St.Gallen,,9016,CH
GPA.3324-9191-8013-42790,2021-08-01,1627817974,Charged,x1q,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CAD,7.49,0.00,7.49,Toronto,ON,M4X 1G6,CA
GPA.3339-7525-7416-68755,2021-08-01,1627819564,Charged,blackjack,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
