Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3337-6770-6756-24778,2021-03-01,1614559726,Charged,r7,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,90.00,0.00,90.00,,,,TH
GPA.3305-3597-8599-78269,2021-03-01,1614573190,Charged,d1x,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,KRW,"3,273.00",327.00,"3,600.00",양천구,서울특별시,08045,KR
GPA.3358-4021-4654-75173,2021-03-01,1614589880,Charged,starlte,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.43,0.46,2.89,,,,DE
GPA.3380-6493-6178-77639,2021-03-02,1614644494,Charged,ocean,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,,,66369,MX
GPA.3389-3106-6601-32545,2021-03-02,1614647737,Charged,a51,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,AUD,3.90,0.39,4.29,,,6069,AU
GPA.3343-3646-6127-32650,2021-03-02,1614647903,Charged,a71,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,CAD,3.79,0.38,4.17,montreal,QC,H2K 2W5,CA
GPA.3306-3842-8860-19381,2021-03-02,1614680717,Charged,greatlte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,VND,"69,000.00",0.00,"69,000.00",,,,VN
GPA.3388-9694-7772-68138,2021-03-02,1614692194,Charged,starlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CHF,2.30,0.00,2.30,Fällanden,,8117,CH
GPA.3364-0823-3495-24391,2021-03-03,1614739597,Charged,a11q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"1,933.00",367.00,"2,300.00",,,1240000,CL
GPA.3302-0709-4911-03227,2021-03-03,1614753367,Charged,vespa_sprout,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,437―1612,JP
GPA.3305-5767-4664-25631,2021-03-03,1614760015,Charged,U325AC,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,,,38300,MX
GPA.3368-5872-8731-05494,2021-03-03,1614761200,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3399-4860-9011-54924,2021-03-03,1614784315,Charged,a20e,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3320-8559-0861-91883,2021-03-03,1614806014,Charged,beyond1q,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,CAD,3.79,0.00,3.79,Vancouver,BC,V6M 2G5,CA
GPA.3379-1751-0731-27127,2021-03-04,1614819880,Charged,SC-03L,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,7500032,JP
GPA.3374-7800-0557-50691,2021-03-04,1614820288,Charged,greatlte,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,PHP,145.00,0.00,145.00,Malolos,BULACAN,3000,PH
GPA.3366-0610-9957-62350,2021-03-04,1614845687,Charged,SH-53A,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,8115532,JP
GPA.3320-1008-6678-44539,2021-03-04,1614849908,Charged,beyond0,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.00,2.49,سعد العبدالله,,,KW
GPA.3330-1705-6586-68759,2021-03-04,1614870826,Charged,d2s,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,QAR,11.00,0.00,11.00,,,,QA
GPA.3331-3115-9431-30791,2021-03-04,1614892761,Charged,dreamlte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,GBP,2.24,0.45,2.69,,,,GB
GPA.3370-4447-1008-68366,2021-03-05,1614909464,Charged,beyond0,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,49.00,0.00,49.00,,,32800,MX
GPA.3334-2477-6264-23076,2021-03-05,1614944255,Charged,htc_brepdugl,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,GBP,2.24,0.45,2.69,,,,GB
GPA.3395-5900-7822-48953,2021-03-05,1614975210,Charged,mcv3,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,Cascavel,PR,85812040,BR
GPA.3370-9354-6331-67315,2021-03-06,1615000793,Charged,elsa,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,HKD,23.00,0.00,23.00,銅鑼灣,香港島,,HK
