Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3397-8539-4842-51001,2020-12-01,1606831048,Charged,greatlte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,VND,"29,000.00",0.00,"29,000.00",,,,VN
GPA.3331-4730-2060-80716,2020-12-02,1606915836,Charged,beyond2q,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,USD,2.99,0.27,3.26,Athens,AL,35613,US
GPA.3323-7814-2437-18656,2020-12-06,1607222459,Charged,grandpplte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,IDR,"36,000.00","3,600.00","39,600.00",,,22728,ID
GPA.3349-9252-0301-63207,2020-12-08,1607462178,Charged,greatlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,INR,186.44,33.56,220.00,Nashik,Maharashtra,422002,IN
