Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3396-2382-5687-43050,2020-11-01,1604246666,Charged,a71,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3394-3427-1288-39698,2020-11-02,1604300473,Charged,c2s,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,THB,93.00,0.00,93.00,อ.เมือง,ตรัง,92000,TH
GPA.3314-5311-2095-38943,2020-11-03,1604399159,Charged,redfin,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3302-9587-4668-13812,2020-11-03,1604425951,Charged,doha_n,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,INR,220.34,39.66,260.00,Guwahati,Assam,781010,IN
GPA.3303-4892-3799-89540,2020-11-03,1604439673,Charged,on7xreflte,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,BRL,16.99,0.00,16.99,Rio de Janeiro,RJ,22765005,BR
GPA.3354-8647-4531-30986,2020-11-06,1604677217,Charged,F5321,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3371-4109-0520-12438,2020-11-07,1604779738,Charged,OP4BFB,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3321-4616-8505-70511,2020-11-09,1604883569,Charged,1901,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3374-8197-7493-87777,2020-11-09,1604948009,Charged,dream2lte,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.49,0.50,2.99,,,,FR
GPA.3389-9028-4083-91188,2020-11-11,1605108852,Charged,OnePlus6T,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,CAD,3.99,0.00,3.99,Kingston,ON,K7M 5K8,CA
GPA.3389-6418-2606-86462,2020-11-14,1605360643,Charged,blueline,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,CAD,3.99,0.00,3.99,Drayton,ON,N0G 1P0,CA
GPA.3332-8734-2395-52936,2020-11-15,1605430476,Charged,r1q,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.49,0.40,2.89,,,,DE
GPA.3392-4210-5466-41967,2020-11-22,1606037625,Charged,a41,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.53,0.56,3.09,,,,IT
GPA.3359-6161-9437-67582,2020-11-25,1606312977,Charged,RMX2020,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,MYR,12.25,0.74,12.99,,,91308,MY
GPA.3359-6161-9437-67582,2020-11-28,1606572778,Refund,RMX2020,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,MYR,12.25,-0.74,-12.99,,,91308,MY
GPA.3359-5185-0107-09892,2020-11-28,1606603458,Charged,HWDUB-Q,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,20150,TH
GPA.3302-7623-0518-26771,2020-11-29,1606662875,Charged,ginkgo,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,BRL,16.99,0.00,16.99,Boa Esperança,ES,29845000,BR
