Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3333-4870-4352-38799,2022-10-01,1664593314,Charged,P963F60,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,AUD,9.99,1.00,10.99,Pialba.,QLD,4655,AU,,,4992313473829035528,Yes,,,
GPA.3354-2219-6352-08579,2022-10-01,1664598729,Charged,V2205,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,INR,227.97,41.03,269.00,Surat,Gujarat,395007,IN,,,4992313473829035528,Yes,,,
GPA.3376-1105-5626-49238,2022-10-01,1664604134,Charged,odessa,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,EUR,2.66,0.53,3.19,,,,SK,,,4992313473829035528,Yes,,,
GPA.3397-5438-1605-47083,2022-10-01,1664605677,Charged,RMX2170L1,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CHF,5.60,0.00,5.60,Magliaso,,6983,CH,,,4992313473829035528,Yes,,,
GPA.3326-5241-0106-89342,2022-10-01,1664606612,Charged,SO-03L,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,JPY,"1,250.00",0.00,"1,250.00",,,2990115,JP,,,4992313473829035528,Yes,,,
GPA.3333-7102-5653-86409,2022-10-01,1664613269,Charged,beryllium,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.60,1.39,7.99,,,,ES,,,4992313473829035528,Yes,,,
GPA.3322-8246-3154-96702,2022-10-01,1664613788,Charged,angelica,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,IDR,"43,000.00","4,730.00","47,730.00",,,,ID,,,4992313473829035528,Yes,,,
GPA.3362-7951-6251-43683,2022-10-01,1664619634,Charged,a31,removeads (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,removeads,TWD,84.00,4.00,88.00,,,105,TW,,,4992313473829035528,Yes,,,
GPA.3394-6446-6670-04790,2022-10-01,1664619706,Charged,apollo,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,SEK,95.20,23.80,119.00,,,,SE,,,4992313473829035528,Yes,,,
GPA.3341-6728-7444-59576,2022-10-01,1664620929,Charged,jacuzzi_cheets,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,1.28,7.99,,,,DE,,,4992313473829035528,Yes,,,
GPA.3362-3094-0943-59078,2022-10-01,1664621427,Charged,r0s,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,EUR,9.24,1.75,10.99,,,,DE,,,4992313473829035528,Yes,,,
GPA.3308-0922-5899-81718,2022-10-01,1664631346,Charged,HWVOG,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,THB,210.28,14.72,225.00,,,11000,TH,p1y,,4992313473829035528,Yes,,,
GPA.3316-1365-3362-13548,2022-10-01,1664634621,Charged,L-03K,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,JPY,680.00,0.00,680.00,伊勢市,三重県,5160079,JP,,,4992313473829035528,Yes,,,
GPA.3307-9326-9896-13849,2022-10-01,1664636300,Charged,OnePlusN10,Remove all anoying ads forever -  One time payment (Weatherapp - Forecast Weather),weatherapp.weatherradar.weather.forecast,inapp,remove_all_ads_sale,EUR,1.76,0.33,2.09,,,,DE,,,4992313473829035528,Yes,,,
GPA.3370-3453-0645-65975,2022-10-01,1664637292,Charged,r9q,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,EUR,9.08,1.91,10.99,,,,NL,,,4992313473829035528,Yes,,,
