Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3304-4156-5603-45184,2022-08-01,1659321185,Charged,denver,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.73,8.22,MEMPHIS,TN,38118,US,,,4992313473829035528,Yes,,,
GPA.3381-2304-9351-70417,2022-08-01,1659331178,Charged,hatch_cheets,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.28,7.77,AURORA,CO,80011,US,,,4992313473829035528,Yes,,,
GPA.3351-5984-2987-18888,2022-08-01,1659331861,Charged,OP5355,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,PURNA,Maharashtra,431511,IN,,,4992313473829035528,Yes,,,
GPA.3306-6851-5786-94747,2022-08-01,1659331888,Charged,gta4lwifi,iapforever (Time Warp Scan - Face warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,NZD,5.64,0.85,6.49,,,,NZ,,,4992313473829035528,Yes,,,
GPA.3399-1173-8554-54506,2022-08-01,1659335603,Charged,HWVOG,Premium Version -  Permanly (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,THB,280.37,19.63,300.00,bangkok,,,TH,,,4992313473829035528,Yes,,,
GPA.3397-6432-1237-12711..2,2022-08-01,1659336217,Charged,,Pro Version -  Monthly Subscription (Collage Layout Photo Editor),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,SEK,34.40,8.60,43.00,,,,SE,p1m,,4992313473829035528,Yes,,,
GPA.3386-2730-0559-94135,2022-08-01,1659345901,Charged,a03su,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,USD,5.49,0.38,5.87,LIBERTY,IN,47353,US,p1y,,4992313473829035528,Yes,,,
GPA.3345-6896-6921-71044,2022-08-01,1659346473,Charged,d2s, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,ZAR,91.30,13.69,104.99,Burgersfort,,1150,ZA,,,4992313473829035528,Yes,,,
GPA.3326-8074-6973-24781,2022-08-01,1659348197,Charged,tissot_sprout,iapforever (Time Warp Scan - Face warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,PLN,17.07,3.92,20.99,,,,PL,,,4992313473829035528,Yes,,,
GPA.3327-2898-9768-29053,2022-08-01,1659348295,Charged,a32,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,EUR,3.21,0.68,3.89,,,,NL,p1m,,4992313473829035528,Yes,,,
GPA.3380-0981-5521-55135,2022-08-01,1659350329,Refund,TECNO-CI6,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,6.12,0.00,-6.12,Kinshasa,,,CD,,,4992313473829035528,Yes,,,
GPA.3372-8220-4628-22889,2022-08-01,1659351915,Charged,a51x,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,GBP,5.41,1.08,6.49,,,,GB,,,4992313473829035528,Yes,,,
GPA.3302-9173-4946-60177,2022-08-01,1659354643,Charged,z3q,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,USD,3.49,0.00,3.49,UNINCORPORATED,GA,30442,US,p1m,,4992313473829035528,Yes,,,
GPA.3360-9274-8929-15013,2022-08-01,1659355854,Charged,p3s,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,GBP,2.24,0.45,2.69,,,,GB,,,4992313473829035528,Yes,,,
GPA.3366-5864-8173-34004,2022-08-01,1659360388,Charged,greatqlte,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GHS,29.79,5.21,35.00,kumasi,,,GH,,,4992313473829035528,Yes,,,
GPA.3381-8465-9153-02619,2022-08-01,1659365347,Charged,alioth,Premium Version -  Permanly (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,IDR,"109,000.00","11,990.00","120,990.00",Surabaya,JAWA TIMUR,60245,ID,,,4992313473829035528,Yes,,,
GPA.3325-9810-0726-81778,2022-08-01,1659373765,Charged,gts8p,Premium Version -  Permanly (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,SEK,72.69,19.80,92.49,,,,SE,,,4992313473829035528,Yes,Points used only,,0.00%
GPA.3375-6761-9576-43489,2022-08-01,1659374815,Charged,BV8800,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,UAH,66.66,13.33,79.99,,,,UA,,,4992313473829035528,Yes,,,
GPA.3398-3585-9278-22870,2022-08-01,1659376281,Charged,r9s,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,MXN,125.00,20.00,145.00,,,05600,MX,,,4992313473829035528,Yes,,,
GPA.3342-6471-9367-92232,2022-08-01,1659378492,Charged,a32x,Premium Version -  Permanly (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,EUR,7.31,1.68,8.99,,,,IE,,,4992313473829035528,Yes,,,
GPA.3360-9201-5088-11777,2022-08-01,1659379015,Charged,OP4F43L1,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,TRY,58.47,10.52,68.99,izmir,İZMIR,35000,TR,p1m,,4992313473829035528,Yes,,,
GPA.3305-2123-8487-66126,2022-08-01,1659379606,Charged,beyond2q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,USD,2.99,0.21,3.20,UNINCORPORATED,NC,27030,US,,,4992313473829035528,Yes,,,
GPA.3363-5620-4049-16126,2022-08-02,1659398590,Charged,I4293,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,TWD,210.00,10.00,220.00,,,,TW,,,4992313473829035528,Yes,Points used only,,0.00%
