Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3337-3813-2029-07545,2020-10-06,1602012161,Charged,a10,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,1.99,0.40,2.39,,,,GB
GPA.3349-6525-0379-72532,2020-10-06,1602012214,Charged,F8331,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.15,0.34,2.49,,,,DE
GPA.3367-9277-3509-18135,2020-10-07,1602039844,Charged,j7y17lte,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,BRL,13.99,0.00,13.99,Palhoça,SC,88132770,BR
GPA.3322-8724-4316-74288,2020-10-08,1602173805,Charged,HWLYA,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3343-6810-8036-40211,2020-10-09,1602221584,Charged,CPH1823,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,THB,93.00,0.00,93.00,Bangkok,กรุงเทพมหานคร,10310,TH
GPA.3358-6026-6222-65448,2020-10-09,1602224356,Charged,a50,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3364-4279-3332-01653,2020-10-09,1602237297,Charged,parker,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3387-3464-8593-76222,2020-10-09,1602237302,Charged,star2lte,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.55,0.54,3.09,,,,BE
GPA.3386-9827-0557-10498,2020-10-09,1602262747,Charged,HWLYA,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.49,0.40,2.89,,,,DE
GPA.3345-7934-0189-69167,2020-10-10,1602328519,Charged,curtana,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.49,0.40,2.89,,,,DE
GPA.3379-1515-6690-98552,2020-10-11,1602430105,Charged,OnePlus8,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3370-7538-3647-64300,2020-10-11,1602435974,Charged,a70q,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3396-3359-1911-84529,2020-10-12,1602513122,Charged,perseus,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,HKD,23.00,0.00,23.00,,Hong Kong Island,,HK
GPA.3375-9847-6496-56710,2020-10-12,1602530204,Charged,a20e,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3393-4717-8490-73708,2020-10-13,1602619591,Charged,winner,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3362-0555-9120-06661,2020-10-14,1602659783,Charged,zeroflte,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.55,0.54,3.09,,,,NL
GPA.3335-7278-1219-29961,2020-10-14,1602679590,Charged,HWELE,"Remove all anoying ads (Owl Note: Notes, Notepad & Notes App for Android)",owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.49,0.50,2.99,,,,FR
