Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3321-7687-7013-45377..7,2022-07-01,1656643947,Charged,,Pro Version -  Monthly Subscription (Collage Layout Photo Editor),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,USD,3.49,0.21,3.70,Coatesville,PA,19320,US,,,4992313473829035528,Yes,,,
GPA.3392-6839-9484-61586,2022-07-01,1656644689,Charged,joyeuse, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,128.45,20.55,149.00,Celaya,GTO.,38080,MX,,,4992313473829035528,Yes,,,
GPA.3391-3203-1194-09677..0,2022-07-01,1656655547,Charged,,Premium version - Once every 6 months (Crown Heart Photo Editor),com.volio.stickers.heart.crown.camera.photoeditor,subscription,premium6month,THB,140.19,9.81,150.00,,,,TH,,,4992313473829035528,Yes,,,
GPA.3396-2950-6102-66278,2022-07-01,1656656739,Refund,Teclast_T50_ROW,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,MYR,31.12,-1.87,-32.99,,,,MY,,,4992313473829035528,Yes,,,
GPA.3325-9567-1722-92853,2022-07-01,1656667312,Charged,a22,Remove all Ads forever (Currency Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE,,,4992313473829035528,Yes,,,
GPA.3357-1867-7249-74474,2022-07-01,1656667730,Charged,a12s,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,GBP,5.41,1.08,6.49,,,,GB,,,4992313473829035528,Yes,,,
GPA.3393-4353-6886-76551,2022-07-01,1656670531,Charged,HWMAR,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,1.28,7.99,,,,DE,,,4992313473829035528,Yes,,,
GPA.3395-9129-8032-61633,2022-07-01,1656673166,Charged,g0q,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,NGN,"2,874.42",215.58,"3,090.00",EKET,AKWA IBOM,,NG,,,4992313473829035528,Yes,,,
GPA.3384-8176-5661-03393,2022-07-01,1656675175,Charged,gts8uwifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.45,7.94,EAST STROUDSBURG,PA,18301,US,,,4992313473829035528,Yes,,,
GPA.3351-3102-7112-44877,2022-07-01,1656677264,Refund,b0q,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,AED,27.61,-1.38,-28.99,,إمارة الشارقةّ,,AE,,,4992313473829035528,Yes,,,
GPA.3397-4149-4465-20662,2022-07-01,1656685652,Charged,a72q,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.52,0.47,5.99,,,,GP,,,4992313473829035528,Yes,,,
