Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible
GPA.3380-5177-6289-73260,2022-04-01,1648776945,Refund,a32, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,-1.13,-6.49,,,,NL,,,4992313473829035528,Yes
GPA.3374-3311-1290-10044,2022-04-01,1648787787,Refund,gts7xlwifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,GBP,5.41,-1.08,-6.49,,,,GB,,,4992313473829035528,Yes
GPA.3389-9241-0126-59504,2022-04-01,1648788889,Charged,OPD4A1L1,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Agra,Uttar Pradesh,282007,IN,,,4992313473829035528,Yes
GPA.3336-3204-3520-39061,2022-04-01,1648792765,Charged,nabu,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.55,1.44,7.99,,,,IT,,,4992313473829035528,Yes
GPA.3386-7939-8697-76873,2022-04-01,1648798177,Charged,BGT_sprout, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,AED,23.80,1.19,24.99,,إمارة دبيّ,,AE,,,4992313473829035528,Yes
GPA.3305-9645-1486-16874,2022-04-01,1648800274,Charged,eos,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,1.28,7.99,,,,DE,,,4992313473829035528,Yes
GPA.3378-9769-8467-92179,2022-04-01,1648804739,Charged,Seoul, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GBP,4.57,0.92,5.49,,,,GB,,,4992313473829035528,Yes
GPA.3383-8018-8515-61716,2022-04-01,1648806251,Charged,berlin,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,SAR,27.82,4.17,31.99,,,,SA,,,4992313473829035528,Yes
GPA.3355-1434-4561-13230,2022-04-01,1648809621,Charged,lemon, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,,4992313473829035528,Yes
GPA.3360-8260-9169-35821,2022-04-01,1648811483,Charged,octopus_cheets,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.37,0.00,7.37,ouagadougou,,,BF,,,4992313473829035528,Yes
