Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3336-4323-6085-22230,2021-12-01,1638321060,Charged,OnePlus8T,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,GBP,4.07,0.82,4.89,,,,GB,,
GPA.3343-0138-3083-82793,2021-12-01,1638329639,Charged,x1s,Premium Scanner App (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest1,MXN,90.52,14.48,105.00,,,31640,MX,,
GPA.3348-5117-1698-01411,2021-12-01,1638330995,Charged,coral_cheets,No more  Ads Forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest4,USD,8.49,0.25,8.74,LITTLETON,CO,80128,US,,
GPA.3323-0179-4372-98277,2021-12-01,1638339178,Charged,a02q,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,MYR,12.25,0.74,12.99,,,,MY,,
GPA.3361-6977-2371-65331,2021-12-01,1638341230,Charged,o1s,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.95,1.04,5.99,,,,BE,,
GPA.3328-1281-2260-48377,2021-12-01,1638343324,Charged,p3s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Nasik,Maharashtra,422003,IN,,
GPA.3370-2863-8714-48214,2021-12-01,1638343482,Charged,H8324, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SEK,55.20,13.80,69.00,,,,SE,,
GPA.3305-4359-8450-14269,2021-12-01,1638345070,Charged,sofiar,Premium Scanner App  (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest2,BRL,30.99,0.00,30.99,Taubaté,SP,12061000,BR,,
GPA.3396-7896-3013-28929,2021-12-01,1638347766,Charged,star,Premium Scanner App  (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest2,USD,5.69,0.00,5.69,Ouagadougou,,,BF,,
GPA.3376-8528-2584-31903,2021-12-01,1638352733,Charged,TB-X505L,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.83,1.16,5.99,,,,FI,,
GPA.3326-3076-6015-52421,2021-12-01,1638353298,Charged,daisy_sprout,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.44,1.55,7.99,,,,GR,,
GPA.3378-6905-5459-39330,2021-12-01,1638354099,Charged,zeroflte,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,THB,84.11,5.89,90.00,เขตบางกอกน้อย,กรุงเทพมหานคร,10700,TH,,
GPA.3356-1656-3273-27803,2021-12-01,1638354572,Charged,y2q,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,USD,5.49,0.38,5.87,LAUREL,MS,39440,US,,
GPA.3392-0111-4798-56250,2021-12-01,1638356958,Charged,j7y17lte,Premium Scanner App (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest1,IQD,"6,400.00",0.00,"6,400.00",السيدية,بغداد,,IQ,,
GPA.3371-2990-1039-99543,2021-12-01,1638357447,Charged,RNN_sprout,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,CZK,123.96,26.03,149.99,,,,CZ,,
GPA.3367-4110-8857-02550,2021-12-01,1638358978,Charged,beyond2, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,idtest1,EUR,3.83,0.76,4.59,,,,FR,,
GPA.3386-4480-6516-32302,2021-12-01,1638359090,Charged,OnePlus9Pro,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,AED,22.85,1.14,23.99,,أبو ظبي,,AE,,
GPA.3338-1786-8368-69981,2021-12-01,1638360863,Charged,2105,Premium Scanner App  (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest3,INR,610.17,109.83,720.00,Malda,West Bengal,732101,IN,,
GPA.3323-7305-7949-15888,2021-12-01,1638362348,Charged,TECNO-CG6j,Premium Scanner App  (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,idtest3,KES,948.28,151.72,"1,100.00",,,00217,KE,,
GPA.3311-5972-6602-70181,2021-12-01,1638365205,Charged,a40, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,idtest1,EUR,3.83,0.76,4.59,,,,FR,,
GPA.3306-0901-1417-44330,2021-12-01,1638367763,Charged,vayu, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,iapevent,MXN,81.90,13.10,95.00,,,37980,MX,,
GPA.3345-4659-4952-41756,2021-12-01,1638368259,Charged,HWVOG,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,GBP,4.07,0.82,4.89,,,,GB,,
GPA.3309-2147-5015-14784,2021-12-01,1638371724,Charged,beyond0,No more  Ads Forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest4,EUR,7.25,1.74,8.99,,,,FI,,
GPA.3343-1895-2192-94016,2021-12-01,1638371866,Refund,guamp, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,idtest1,GBP,3.24,-0.65,-3.89,,,,GB,,
GPA.3398-4362-2017-04536,2021-12-01,1638372006,Charged,star,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,6.29,0.00,6.29,Ouagadougou,,,BF,,
GPA.3313-2159-1765-98565,2021-12-01,1638372759,Charged,RMX2155L1, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,idtest1,USD,4.36,0.00,4.36,Tigre,Buenos Aires,1648,AR,,
