Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3378-3813-4412-73484,2022-03-01,1646103238,Charged,gts7xllite,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,SGD,10.26,0.72,10.98,,,730648,SG,,
GPA.3340-2446-1041-47578,2022-03-01,1646105849,Charged,a31,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Peddapalli,Telangana,505153,IN,,
GPA.3304-5342-4204-75436,2022-03-01,1646118581,Charged,c2s,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,THB,257.01,17.99,275.00,,,92130,TH,,
GPA.3316-0851-9805-78867,2022-03-01,1646119141,Charged,secret,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,6.27,0.00,6.27,Boroko,NCD,121,PG,,
GPA.3334-9011-2892-74762,2022-03-01,1646121640,Charged,beyond1,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,CHF,6.90,0.00,6.90,Vevey,,1800,CH,,
GPA.3372-3155-0394-33227,2022-03-01,1646124139,Charged,TECNO-KF7j,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,KES,689.66,110.34,800.00,,,,KE,,
GPA.3317-1187-8874-36873,2022-03-01,1646126685,Charged,J606F,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.66,1.33,7.99,,,,FR,,
GPA.3327-3467-6574-76912,2022-03-01,1646130182,Charged,x1s, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.41,1.08,6.49,,,,FR,,
GPA.3311-3344-2691-21693,2022-03-01,1646133501,Charged,a52q,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,TZS,"17,000.00",0.00,"17,000.00",Morogoro,,,TZ,,
GPA.3339-8073-4306-32263,2022-03-01,1646141166,Charged,raphael,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CLP,"4,454.00",846.00,"5,300.00",Santiago,REGIÓN METROPOLITANA DE SANTIAGO,8340518,CL,,
GPA.3365-2726-5352-65317,2022-03-01,1646155553,Charged,HWELE, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,24.34,3.65,27.99,,,,SA,,
GPA.3397-3661-1376-56578,2022-03-01,1646156924,Charged,HWBAH2,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,CHF,6.90,0.00,6.90,Gimel,,1181,CH,,
GPA.3390-7771-2178-53688,2022-03-01,1646157218,Charged,r8q, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.49,0.75,7.24,Coto Laurel,,00780,PR,,
