Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3389-0433-2665-33962,2021-01-25,1611577596,Charged,y2q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3319-4684-7018-44673,2021-01-25,1611589356,Charged,HWMRX,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,JATUJAK,กรุงเทพมหานคร,10900,TH
GPA.3301-9158-8314-37968,2021-01-25,1611590144,Charged,j5xnlte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3393-9946-7464-41363,2021-01-25,1611614901,Charged,htc_oceuhl,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,DKK,8.00,2.00,10.00,,,,DK
GPA.3373-2214-2279-80014,2021-01-26,1611683097,Charged,begoniain,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,BRL,16.99,0.00,16.99,Goiânia,GO,74870390,BR
GPA.3326-6476-8150-59554,2021-01-26,1611686280,Charged,c2s,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.53,0.56,3.09,,,,IT
GPA.3396-1121-3930-73378,2021-01-27,1611718032,Charged,OP4BA5L1,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,อ.เมือง,สมุทรปราการ,10270,TH
GPA.3330-2439-4702-93036,2021-01-29,1611912994,Charged,maverick,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,AUD,3.45,0.34,3.79,,,3337,AU
GPA.3396-1461-4982-45952,2021-01-30,1611972818,Charged,c1s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,Thonburi,กรุงเทพมหานคร,10600,TH
GPA.3388-5788-5777-09152,2021-01-30,1611978250,Charged,angelica,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,THB,77.00,0.00,77.00,,,10510,TH
GPA.3378-3658-4964-50361,2021-01-30,1612034412,Charged,a71,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"1,933.00",367.00,"2,300.00",,,,CL
GPA.3335-8964-3999-89374,2021-01-30,1612042291,Charged,umi,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.07,0.42,2.49,,,,FR
GPA.3380-3916-0599-84334,2021-01-31,1612061670,Charged,TECNO-KC2,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,9.56,1.43,10.99,,,11325,SA
GPA.3317-7842-3300-03266,2021-01-31,1612089170,Charged,Nord,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,EUR,2.53,0.56,3.09,,,,IT
GPA.3321-7334-7298-14071,2021-01-31,1612095641,Charged,joyeuse,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3319-1906-8845-87309,2021-01-31,1612096988,Charged,beyond1,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3312-8941-9896-37695,2021-01-31,1612113054,Charged,gts7lwifi,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE
