Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3367-2272-8698-45375,2021-04-01,1617248769,Charged,beyond2,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,ILS,8.50,0.00,8.50,,,,IL
GPA.3358-4956-7777-61320,2021-04-01,1617250366,Charged,a5y17ltecan,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CAD,3.19,0.32,3.51,Montréal,QC,H2E 2M3,CA
GPA.3301-1159-3015-40461,2021-04-01,1617252431,Charged,r8s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,HRK,16.00,4.00,20.00,,,,HR
GPA.3314-4238-2347-35722,2021-04-01,1617274280,Charged,p3s,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,KRW,"3,273.00",327.00,"3,600.00",서초구,서울특별시,137-060,KR
GPA.3313-4588-8152-87351,2021-04-01,1617278393,Charged,HWMAR,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.47,0.52,2.99,,,,BE
GPA.3381-3960-7065-11135,2021-04-01,1617280889,Charged,namath,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"1,933.00",367.00,"2,300.00",,,,CL
GPA.3360-2541-7730-61254,2021-04-01,1617284987,Charged,lima,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,João Monlevade,MG,35930282,BR
GPA.3394-7410-1077-36505,2021-04-01,1617290214,Charged,2023,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.00,2.49,ลอสแอนเจลิส,CA,90012,US
GPA.3343-0175-3578-61588,2021-04-01,1617293547,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,GARZA GARCIA,N.L.,66220,MX
GPA.3374-7585-2896-38973,2021-04-01,1617295159,Charged,OnePlus7TProNR,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,2.99,0.00,2.99,Rancho Mirage,CA,92270,US
GPA.3372-6913-3966-75778,2021-04-01,1617297269,Charged,odessa,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,13.99,0.00,13.99,Belo Horizonte,MG,31030072,BR
GPA.3349-4475-4744-80409,2021-04-01,1617298097,Charged,HWEVR,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.14,0.45,2.59,,,,ES
GPA.3315-8758-9008-41806,2021-04-01,1617298327,Charged,HWEVR,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3320-3621-9696-65057,2021-04-01,1617321269,Charged,a3xelte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3359-5282-2842-76068,2021-04-02,1617345136,Charged,joyeuse,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,,,37910,MX
GPA.3395-7594-4696-03789,2021-04-02,1617360675,Charged,a50,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.47,0.52,2.99,,,,BE
GPA.3361-5018-2072-88470,2021-04-02,1617363029,Charged,star2lte,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.16,0.43,2.59,,,,FR
GPA.3356-6318-9521-75813,2021-04-02,1617374476,Charged,c2q,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,KRW,"3,364.00",336.00,"3,700.00",마포구,서울특별시,03991,KR
GPA.3385-5588-2163-77662,2021-04-02,1617374625,Charged,a01core,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,,,41351,MX
GPA.3355-5578-2894-79205,2021-04-02,1617381630,Charged,CatS52,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
GPA.3308-7397-0933-30600,2021-04-02,1617385986,Charged,XQ-AU52,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,GBP,2.33,0.46,2.79,,,,GB
GPA.3343-6459-2095-95307,2021-04-02,1617393043,Charged,lake_n,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,13.99,0.00,13.99,Florianópolis,SC,89031-200,BR
GPA.3324-0642-7453-26017,2021-04-02,1617406461,Charged,SH-53A,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,8115532,JP
GPA.3349-0299-3007-48882,2021-04-03,1617417006,Charged,joyeuse,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,THB,90.00,0.00,90.00,Meung,เชียงใหม่,50200,TH
GPA.3369-8986-7258-98829,2021-04-03,1617429755,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,ILS,8.40,0.00,8.40,deer haha,,18157,IL
GPA.3304-5608-5027-58634,2021-04-03,1617435466,Charged,SH-01K,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,9012223,JP
GPA.3322-9170-0413-03702,2021-04-03,1617459716,Charged,laurel_sprout,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,Petrolina,PE,56326150,BR
GPA.3351-5291-9056-65234,2021-04-03,1617479717,Charged,beryllium,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.09,0.40,2.49,,,,DE
GPA.3346-8758-2147-39725,2021-04-03,1617487510,Charged,P671F20,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,Ciudad de México,CDMX,14400,MX
GPA.3388-3879-2873-98540,2021-04-04,1617505892,Charged,j6primelte,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.47,0.52,2.99,,,,ES
GPA.3339-0167-4316-36568,2021-04-04,1617508178,Charged,SOG01,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,JPY,320.00,0.00,320.00,,,2790046,JP
GPA.3398-1870-0504-33239,2021-04-04,1617510962,Charged,G8441,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,HKD,19.90,0.00,19.90,,-,,HK
GPA.3320-2625-7460-67251,2021-04-04,1617511095,Charged,dreamlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SGD,3.26,0.23,3.49,,,542266,SG
GPA.3398-5080-0313-62423,2021-04-04,1617514021,Charged,apollo,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,Tlaxcala,TLAX.,90100,MX
GPA.3301-5930-1039-65777,2021-04-04,1617531248,Charged,902SO,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,190-0012,JP
GPA.3325-1526-3100-98099,2021-04-04,1617537909,Charged,r8q,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.09,0.40,2.49,,,,DE
GPA.3346-6737-0638-49129,2021-04-04,1617544057,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,ES
GPA.3305-0606-0705-19240,2021-04-05,1617586014,Charged,SH-M12,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,9690401,JP
GPA.3343-8103-1239-98178,2021-04-05,1617588901,Charged,a12,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,AUD,3.90,0.39,4.29,,,5114,AU
GPA.3343-7236-3810-79025,2021-04-05,1617596585,Charged,NX659J,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,JPY,320.00,0.00,320.00,,,4470065,JP
GPA.3375-7881-8030-39102,2021-04-05,1617598355,Charged,TECNO-KA7-GO,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,GHS,15.00,2.62,17.62,Accra,,,GH
GPA.3319-8489-6360-03293,2021-04-05,1617607925,Charged,z3s,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
GPA.3325-0730-7398-78803,2021-04-05,1617614197,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.37,0.12,2.49,العكر الغربي,,973,BH
GPA.3303-0950-3900-33071,2021-04-05,1617616618,Charged,d2x,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,AUD,3.90,0.39,4.29,Launceston,TAS,7250,AU
GPA.3372-7094-9580-75847,2021-04-05,1617619725,Charged,OP4F25L1,Remove all ads (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeads,KES,300.00,0.00,300.00,Runyenjes,,60103,KE
GPA.3308-8543-4014-42240,2021-04-05,1617629082,Charged,d1,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,186.44,33.56,220.00,New Mumbai,Maharashtra,410209,IN
GPA.3350-2264-6233-65057,2021-04-05,1617630176,Charged,m31,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,13.99,0.00,13.99,Fortaleza,CE,60135-472,BR
GPA.3390-7939-9683-38998,2021-04-05,1617638776,Charged,d2q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,TWD,72.00,4.00,76.00,,,33845,TW
GPA.3319-5404-8774-59370,2021-04-05,1617639810,Charged,gta4xl,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,90.00,0.00,90.00,,,10110,TH
