Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3319-3570-2230-32577,2021-06-01,1622509491,Charged,d2s,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.47,0.52,2.99,,,,ES
GPA.3308-9631-5803-50459,2021-06-01,1622516628,Charged,a20s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"1,933.00",367.00,"2,300.00",,,,CL
GPA.3309-9260-8887-11757,2021-06-01,1622517112,Charged,y2s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.00,2.49,ALISO VIEJO,CA,92677,US
GPA.3328-6678-8242-80515,2021-06-01,1622518238,Charged,zeroflte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,ZAR,39.12,5.87,44.99,Johannesburg,,2192,ZA
GPA.3368-7313-2891-32879,2021-06-01,1622522340,Charged,gauguin,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.06,0.43,2.49,,,,BE
GPA.3317-8126-6659-65864,2021-06-01,1622534405,Charged,rome_sprout,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,7370001,JP
GPA.3355-5829-8582-80126,2021-06-01,1622540861,Charged,a71,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,INR,220.34,39.66,260.00,Bangalore,Karnataka,560043,IN
GPA.3392-0611-8519-95306,2021-06-01,1622541262,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,2.49,0.00,2.49,,,,KW
GPA.3301-0030-4829-91006,2021-06-01,1622547663,Charged,z3s,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.47,0.42,2.89,,,,LU
GPA.3345-1331-3246-40141,2021-06-01,1622549974,Charged,a50,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,IDR,"36,000.00","3,600.00","39,600.00",Gresik,JAWA TIMUR,,ID
GPA.3391-3860-8276-52186,2021-06-01,1622551157,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3348-7521-9082-23282,2021-06-01,1622552540,Charged,a20,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,186.44,33.56,220.00,,Punjab,,IN
GPA.3320-5190-8772-89210,2021-06-01,1622552762,Charged,a02q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.01,0.38,2.39,,,,DE
GPA.3368-6499-2325-13160,2021-06-01,1622555339,Charged,a10s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,13.99,0.00,13.99,Macapá,AP,68908-183,BR
GPA.3313-2906-6425-67912,2021-06-01,1622555911,Charged,a01core,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,São Paulo,SP,03288070,BR
GPA.3367-9006-5575-88087,2021-06-01,1622557702,Charged,liber,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,186.44,33.56,220.00,Chennai,Tamil Nadu,600088,IN
GPA.3335-4920-3848-49719,2021-06-01,1622558597,Charged,beyond2,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,13.99,0.00,13.99,Serra,ES,29182534,BR
GPA.3362-5051-6985-41653,2021-06-01,1622563237,Charged,dandelion,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,,,93845,MX
GPA.3356-6359-8906-39785,2021-06-01,1622563662,Charged,sweet,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,2.09,0.50,2.59,,,,GR
GPA.3358-2040-6509-02751,2021-06-01,1622563979,Charged,sanders,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,BRL,12.99,0.00,12.99,Abaetetuba,PA,66030370,BR
GPA.3310-4521-7421-32326,2021-06-01,1622564158,Charged,t2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.16,0.43,2.59,,,,FR
GPA.3308-0107-1779-83027,2021-06-01,1622565614,Charged,angelica,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,42.24,6.76,49.00,,,42119,MX
GPA.3368-8132-9123-03011,2021-06-01,1622565628,Refund,HWJSN-HM,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,2.16,-0.43,-2.59,,,,FR
GPA.3374-5109-1011-06487,2021-06-01,1622566995,Charged,a51,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GBP,1.91,0.38,2.29,,,,GB
GPA.3305-4136-2190-58813,2021-06-01,1622569541,Charged,c2s,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,SGD,4.19,0.29,4.48,,,038987,SG
GPA.3307-3099-5682-38645,2021-06-01,1622574366,Charged,HWMAR,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,MXN,56.03,8.97,65.00,,,59571,MX
